|text|span|label|ordinal
145|Я могу легко редактировать видео в AVCHD, что было проблемой для большинства ПК, если только у вас не процессор Quad Core i7.|Quad Core i7|positive|0
146|После разговора с очень компетентным продавцом я выбрал MacBook Pro вместо белого MacBook.|продавец|positive|0
147|Если вам нужна мощная система и не нужно запускать Windows-приложения, выбирайте Apple.|система|positive|0
154|Даже его цвет классный.|цвет|positive|0
157|Да, Mac стоит дороже среднего ноутбука, но с ним не сравнятся стиль, скорость и крутой фактор.|стиль|positive|0
158|Да, Mac стоит дороже среднего ноутбука, но с ним не сравнятся стиль, скорость и крутой фактор.|скорость|positive|0
159|Клавиатура приятная на ощупь, и печатать на ней удобно.|клавиатура|positive|0
162|BEST BUY — 5 ЗВЁЗД + + + (продажи, сервис, уважение к пожилым людям, не знакомым с технологиями) DELL COMPUTERS — 3 звезды DELL SUPPORT — должны мне пару вещей|продажи|positive|0
163|BEST BUY — 5 ЗВЁЗД + + + (продажи, сервис, уважение к пожилым людям, не знакомым с технологиями) DELL COMPUTERS — 3 звезды DELL SUPPORT — должны мне пару вещей|сервис|positive|0
164|BEST BUY — 5 ЗВЁЗД + + + (продажи, сервис, уважение к пожилым людям, не знакомым с технологиями) DELL COMPUTERS — 3 звезды DELL SUPPORT — должны мне пару вещей|поддержка DELL|positive|0
167|Да, они дороже, но это компенсируется скоростью, качеством сборки и долговечностью.|скорость|positive|0
168|Да, они дороже, но это компенсируется скоростью, качеством сборки и долговечностью.|качество сборки|positive|0
169|Да, они дороже, но это компенсируется скоростью, качеством сборки и долговечностью.|долговечность|positive|0
171|"Так как я печатаю со скоростью более 100 слов в минуту, я искал устройство с удобной клавиатурой (без залипающих клавиш, странного расположения ""дополнительных клавиш"" и т. д."|клавиатура|positive|1
172|"Так как я печатаю со скоростью более 100 слов в минуту, я искал устройство с удобной клавиатурой (без залипающих клавиш, странного расположения ""дополнительных клавиш"" и т. д."|клавиши|positive|0
173|"Так как я печатаю со скоростью более 100 слов в минуту, я искал устройство с удобной клавиатурой (без залипающих клавиш, странного расположения ""дополнительных клавиш"" и т. д."|"расположение ""доп. клавиш"""|positive|0
175|Он определённо дороже большинства PC-ноутбуков, но простота использования, безопасность и минимум проблем делают его стоящим своей цены.|использование|positive|0
176|Он определённо дороже большинства PC-ноутбуков, но простота использования, безопасность и минимум проблем делают его стоящим своей цены.|безопасность|positive|0
180|Множество предустановленного ПО.|предустановленное ПО|positive|0
182|Моя любимая часть этого компьютера — наличие VGA-порта, так что я могу подключить его к большему экрану.|VGA-порт|positive|0
184|Ещё хочу добавить, что время работы от аккумулятора отличное.|время работы от аккумулятора|positive|0
186|Acer не помог, а Garmin не смог определить проблему (после 2 часов общения со мной), так что я вернул его и купил Toshiba R700, которая кажется ещё лучше, и я смог установить всё своё ПО без проблем.|ПО|positive|0
189|Я играю во много казуальных игр онлайн, и тачпад очень отзывчивый.|тачпад|positive|0
190|Конечно, он всё ещё очень новый ноутбук, но по сравнению с моими предыдущими ноутбуками и ПК, мой Mac запускается заметно быстрее.|запуск|positive|0
192|Он соответствует всем моим ожиданиям с точки зрения внешнего вида и ощущений, но кажется даже более прочным.|внешний вид и ощущения|positive|0
195|Единственное, что мне не нравится в Apple — они обычно используют Safari, а я его не люблю, но после установки Mozilla Firefox я влюбился в каждую деталь.|Mozilla Firefox|positive|0
199|Отличный аккумулятор, скорость, дисплей.|аккумулятор|positive|0
200|Отличный аккумулятор, скорость, дисплей.|скорость|positive|0
201|Отличный аккумулятор, скорость, дисплей.|дисплей|positive|0
202|Доставка была быстрой, и я бы не задумываясь купил этот ноутбук снова.|доставка|positive|0
203|Я впечатлён временем работы от аккумулятора и производительностью при таком небольшом объёме памяти.|время работы от аккумулятора|positive|0
204|Я впечатлён временем работы от аккумулятора и производительностью при таком небольшом объёме памяти.|производительность|positive|0
206|Его приложения потрясающие, включая замены Microsoft Office.|приложения|positive|0
207|Его приложения потрясающие, включая замены Microsoft Office.|Microsoft Office|positive|0
222|У моего отца один из самых первых Toshiba, да, он немного медленный сейчас, но всё ещё работает хорошо, и я подключил его к Ethernet!|Ethernet|positive|0
223|У моего отца один из самых первых Toshiba, да, он немного медленный сейчас, но всё ещё работает хорошо, и я подключил его к Ethernet!|работа|positive|0
224|Больше всего мне нравится функция перетаскивания.|функция перетаскивания|positive|0
226|Я заказал через MacMall, что спасло меня от налога с продаж, который пришлось бы платить при локальной покупке.|налог с продаж|positive|0
227|Конечно, я также получил несколько отличных программных пакетов бесплатно, включая iWork, GarageBand и iMovie.|программные пакеты|positive|0
228|Конечно, я также получил несколько отличных программных пакетов бесплатно, включая iWork, GarageBand и iMovie.|iWork|positive|0
229|Конечно, я также получил несколько отличных программных пакетов бесплатно, включая iWork, GarageBand и iMovie.|GarageBand|positive|0
230|Конечно, я также получил несколько отличных программных пакетов бесплатно, включая iWork, GarageBand и iMovie.|iMovie|positive|0
231|Экран очень большой и кристально чистый с потрясающими цветами и разрешением.|экран|positive|0
232|Экран очень большой и кристально чистый с потрясающими цветами и разрешением.|цвета|positive|0
2|"Техник сказал, что сервисный центр не делает обмен 1 к 1, и мне нужно обратиться в ""отдел продаж"", то есть в магазин, где я купил нетбук."|сервисный центр|negative|0
3|"Техник сказал, что сервисный центр не делает обмен 1 к 1, и мне нужно обратиться в ""отдел продаж"", то есть в магазин, где я купил нетбук."|"отдел продаж"|negative|0
15|Одной ночью я выключил эту штуку после использования, а на следующий день включаю — нет графического интерфейса, экран тёмный, индикатор питания горит ровно, индикатор жёсткого диска не мигает, как обычно.|графический интерфейс|negative|0
16|Одной ночью я выключил эту штуку после использования, а на следующий день включаю — нет графического интерфейса, экран тёмный, индикатор питания горит ровно, индикатор жёсткого диска не мигает, как обычно.|экран|negative|0
18|Одной ночью я выключил эту штуку после использования, а на следующий день включаю — нет графического интерфейса, экран тёмный, индикатор питания горит ровно, индикатор жёсткого диска не мигает, как обычно.|индикатор жёсткого диска|negative|0
21|В магазине эти MacBook упакованы в мягкую резиновую оболочку — так что вы не узнаете об острых краях, пока не купите его, принесёте домой, вскроете упаковку и начнёте использовать (очень хитрый обман).|края|negative|0
29|Я почти не могу использовать USB-устройства, потому что они не остаются подключёнными должным образом.|USB-устройства|negative|0
32|Когда я наконец запустил всё с установленным ПО и подключил свой Droid для зарядки, система зависла.|система|negative|0
33|Один совет: не берите Microsoft Office для Mac, ожидая, что он будет работать так же, как на PC.|Microsoft Office для Mac|negative|0
37|Машина медленно загружается и иногда полностью зависает.|загрузка|negative|0
38|После оплаты нескольких сотен долларов за эту услугу разочаровывает, что вы не можете получить помощь в нерабочее время.|услуга|negative|0
44|После многочисленных попыток (включая прямое установление времени в BIOS) я сдался (я технарь).|время в BIOS|negative|0
45|ВЫ НЕ СМОЖЕТЕ ПОГОВОРИТЬ С АМЕРИКАНЦЕМ, ТАК КАК СЛУЖБА ГАРАНТИИ НАХОДИТСЯ ЗА ГРАНИЦЕЙ.|СЛУЖБА ГАРАНТИИ|negative|0
46|но теперь я понял, что это проблема этого бренда.|бренд|negative|0
49|Также немного шумный, когда работает вентилятор.|вентилятор|negative|0
51|"В отчаянии я позвонил в их службу поддержки, и мне сказали, что моя гарантия истекла (ноутбуку 2 дня), и за привилегию поговорить с техником мне придётся заплатить (""имейте готовую кредитку"")."|гарантия|negative|0
52|"В отчаянии я позвонил в их службу поддержки, и мне сказали, что моя гарантия истекла (ноутбуку 2 дня), и за привилегию поговорить с техником мне придётся заплатить (""имейте готовую кредитку"")."|разговор с техником|negative|0
53|Также, похоже, была проблема с жёстким диском, так как иногда Windows загружалась, но не могла найти драйверы или файлы.|жёсткий диск|negative|0
54|Также, похоже, была проблема с жёстким диском, так как иногда Windows загружалась, но не могла найти драйверы или файлы.|Windows|negative|0
57|Драйверы обновились нормально, но обновление BIOS зависло, и компьютер выключился.|обновление BIOS|negative|0
58|Драйверы обновились нормально, но обновление BIOS зависло, и компьютер выключился.|система|negative|0
60|Говоря о браузере, у него тоже есть проблемы.|браузер|negative|0
61|Клавиатура слишком скользкая.|клавиатура|negative|0
63|Он весит около 9 фунтов, но если закрыть на это глаза, он ОТЛИЧНЫЙ!|9 фунтов|negative|0
65|Всё ещё на гарантии, позвонил в Toshiba — никакой помощи.|гарантия|negative|0
66|Я был доволен покупкой Toshiba Satellite L305D-S5934, пока не пришлось ремонтировать его по гарантии Toshiba.|гарантия Toshiba|negative|0
72|Месяц назад сгорела материнская плата.|материнская плата|negative|0
73|Система, с которой он поставляется, не работает должным образом, и при попытке исправить проблемы она вообще перестала работать.|система|negative|0
74|Потом через 4 месяца перестал работать зарядник, и мне пришлось покупать новое оборудование, чтобы поддерживать работу компьютера.|зарядное устройство|negative|0
75|Потом через 4 месяца перестал работать зарядник, и мне пришлось покупать новое оборудование, чтобы поддерживать работу компьютера.|оборудование|negative|0
77|Он редко работает, а когда работает — невероятно медленный.|работа|negative|0
84|Купил ноутбук Toshiba, он работал хорошо, пока не истёк гарантийный срок.|гарантия|negative|0
89|Реальность такова, что он очень быстро нагревался и слишком долго выполнял простые вещи, например открытие папки "Мои документы".|открытие папки "Мои документы"|negative|0
90|Я всегда использовал PC и постоянно разочаровывался из-за зависаний и плохо продуманных операционных систем, которые никогда не были интуитивно понятными.|операционные системы|negative|0
91|Потом, через 5 месяцев, зарядник сломался.|зарядное устройство|negative|0
94|Я снова отнёс компьютер, и они заменили жёсткий диск и материнскую плату снова.|жёсткий диск|negative|0
95|Я снова отнёс компьютер, и они заменили жёсткий диск и материнскую плату снова.|материнская плата|negative|0
98|всё ещё тестирую время работы от аккумулятора, думал будет лучше, но очень доволен апгрейдом.|время работы от аккумулятора|negative|0
99|Потом HP вернул его мне с неработающим оборудованием, без возможности подключения.|оборудование|negative|0
100|Ах да, не забудьте про дорогую доставку туда и обратно в HP.|доставка|negative|0
102|Всё очень легко использовать, программное обеспечение Mac намного проще, чем Microsoft.|ПО Microsoft|negative|0
104|И если вы много пишете, редактирование — проблема, так как нет клавиши forward delete.|клавиша delete|negative|0
105|И если вы много пишете, редактирование — проблема, так как нет клавиши forward delete.|редактирование|negative|0
121|Включение таймера батареи бесполезно.|таймер батареи|negative|0
126|Но мы заплатили за Bluetooth, а его не было.|Bluetooth|negative|0
128|Итак, я посетил сервисный центр LG на Александра-роуд, надеясь, что они подтянут петли.|петли|negative|0
131|Примерно через неделю мне его вернули и сказали, что материнская плата вышла из строя, поэтому они установили новую.|материнская плата|negative|0
133|Он был медленным, зависал, и оборудование пришлось менять уже через 2 месяца!|оборудование|negative|0
134|в апреле пришлось менять материнскую плату|материнская плата|negative|0
136|Кроме того, если вам нужно поговорить с представителем Microsoft, за это берут плату, что я считаю грабежом, учитывая огромные суммы за плохо продуманную систему, из-за чего многие предпочли бы XP, если бы могли.|представитель Microsoft|negative|0
137|Кроме того, если вам нужно поговорить с представителем Microsoft, за это берут плату, что я считаю грабежом, учитывая огромные суммы за плохо продуманную систему, из-за чего многие предпочли бы XP, если бы могли.|система|negative|0
140|Мне нравится Windows 7, которая намного лучше Vista.|Vista|negative|0
142|"Диссервис" Dell — это оскорбление для клиентов, которые платят хорошие деньги за некачественные продукты.|"диссервис" Dell|negative|0
143|Через 10 минут обычного использования произошёл сбой системы охлаждения, и компьютер не мог продолжить работу из-за этой ошибки.|система охлаждения|negative|0
149|Вам не придётся тратить кучу денег на неэффективную антивирусную программу, которую нужно обновлять каждый месяц и которая постоянно опустошает ваш кошелёк.|антивирусная программа|negative|0
152|Через 2 месяца сел аккумулятор.|аккумулятор|negative|0
155|Клавиши расположены в странных местах, и она слишком большая для своего дизайна.|клавиши|negative|0
156|Клавиши расположены в странных местах, и она слишком большая для своего дизайна.|дизайн|negative|0
161|И не говоря уже о том, что через несколько месяцев использования батарея будет держать заряд всё хуже, пока вы не сможете оставить его без розетки более чем на 5 минут без выключения.|аккумулятор|negative|0
178|Он постоянно зависает во время использования, и приходится постоянно по нему стучать, чтобы он работал.|использование|negative|0
179|Он постоянно зависает во время использования, и приходится постоянно по нему стучать, чтобы он работал.|работа|negative|0
181|Жаль, что у него нет веб-камеры, тогда бы он был идеальным!|веб-камера|negative|0
185|Один недостаток — хотелось бы, чтобы клавиши были с подсветкой.|клавиши|negative|0
187|Жаль, что громкость не громче, а мышь сломалась уже через месяц.|громкость|negative|0
188|Жаль, что громкость не громче, а мышь сломалась уже через месяц.|мышь|negative|0
191|Он подхватил вирус, который полностью уничтожил мой жёсткий диск за несколько часов.|жёсткий диск|negative|0
193|Единственное, что мне не нравится в Apple — они обычно используют Safari, а я его не люблю, но после установки Mozilla Firefox я влюбился в каждую деталь.|Safari|negative|0
194|Единственное, что мне не нравится в Apple — они обычно используют Safari, а я его не люблю, но после установки Mozilla Firefox я влюбился в каждую деталь.|Safari|negative|1
196|Bluetooth вообще не было, а драйвер сканера отпечатков пальцев был, но ПО зависало на середине установки.|Bluetooth|negative|0
197|Bluetooth вообще не было, а драйвер сканера отпечатков пальцев был, но ПО зависало на середине установки.|драйвер сканера отпечатков|negative|0
198|Bluetooth вообще не было, а драйвер сканера отпечатков пальцев был, но ПО зависало на середине установки.|ПО|negative|0
205|Я впечатлён временем работы от аккумулятора и производительностью при таком небольшом объёме памяти.|память|negative|0
208|они не улучшили ничего другого, например разрешение, внешний вид, систему охлаждения, видеокарту и т. д.|разрешение|negative|0
209|они не улучшили ничего другого, например разрешение, внешний вид, систему охлаждения, видеокарту и т. д.|внешний вид|negative|0
210|они не улучшили ничего другого, например разрешение, внешний вид, систему охлаждения, видеокарту и т. д.|система охлаждения|negative|0
211|они не улучшили ничего другого, например разрешение, внешний вид, систему охлаждения, видеокарту и т. д.|видеокарта|negative|0
212|Я получил его обратно, и встроенная веб-камера и микрофон замыкали каждый раз, когда я касался крышки (а это было моим средством общения с моей невестой, которая была в командировке), но я терпел и постоянно перезагружал компьютер, чтобы снова использовать камеру и микрофон, когда они отключались.|встроенная веб-камера|negative|0
213|Я получил его обратно, и встроенная веб-камера и микрофон замыкали каждый раз, когда я касался крышки (а это было моим средством общения с моей невестой, которая была в командировке), но я терпел и постоянно перезагружал компьютер, чтобы снова использовать камеру и микрофон, когда они отключались.|встроенный микрофон|negative|0
214|Я получил его обратно, и встроенная веб-камера и микрофон замыкали каждый раз, когда я касался крышки (а это было моим средством общения с моей невестой, которая была в командировке), но я терпел и постоянно перезагружал компьютер, чтобы снова использовать камеру и микрофон, когда они отключались.|камера|negative|1
215|Я получил его обратно, и встроенная веб-камера и микрофон замыкали каждый раз, когда я касался крышки (а это было моим средством общения с моей невестой, которая была в командировке), но я терпел и постоянно перезагружал компьютер, чтобы снова использовать камеру и микрофон, когда они отключались.|микрофон|negative|1
217|Плата имеет плохой разъём с блоком питания, и вскоре после истечения гарантии блок питания начнёт сбоить.|плата|negative|0
218|Плата имеет плохой разъём с блоком питания, и вскоре после истечения гарантии блок питания начнёт сбоить.|разъём|negative|0
219|Плата имеет плохой разъём с блоком питания, и вскоре после истечения гарантии блок питания начнёт сбоить.|блок питания|negative|0
220|Плата имеет плохой разъём с блоком питания, и вскоре после истечения гарантии блок питания начнёт сбоить.|гарантия|negative|0
221|Плата имеет плохой разъём с блоком питания, и вскоре после истечения гарантии блок питания начнёт сбоить.|блок питания|negative|1
225|Ах да, и если ваша модная веб-камера сломается, угадайте, кому вам придётся её отправить на ремонт?|веб-камера|negative|0
234|Чуть больше года владения MacBook Pro, и монитор полностью вышел из строя.|монитор|negative|0
236|Размер: Да, 13 дюймов маловато (особенно для замены десктопа), но с внешним монитором какая разница.|размер|negative|0
238|Дополнительное предостережение: базовая установка включает некоторое специфичное ПО Toshiba, которое может не понравиться пользователю.|базовая установка|negative|0
239|Дополнительное предостережение: базовая установка включает некоторое специфичное ПО Toshiba, которое может не понравиться пользователю.|ПО|negative|0
240|Когда я вернул его в Best Buy, оказалось, что сломался маленький пластиковый элемент внутри (проблема производства).|производство|negative|0
244|Процессор AMD Turin, кажется, всегда работает намного лучше, чем Intel.|Intel|negative|0
246|Меню "Пуск" не самое удобное для навигации из-за стекирования.|меню "Пуск"|negative|0
247|Меню "Пуск" не самое удобное для навигации из-за стекирования.|навигация|negative|0
248|Единственное, что я хотел бы добавить — это внутренний Blu-ray привод с возможностью записи.|Blu-ray привод|negative|0
249|Сервисный техник сказал, что пытался воспроизвести повреждение, но не смог, значит, это был их производственный дефект.|сервисный техник|negative|0
250|Магазин, где я купил это устройство, отправил его обратно... в итоге я получил новую или отремонтированную машину примерно через 3 недели.|технический магазин|negative|0
256|Однако высокая цена.|цена|negative|0
258|"У меня был статический шум на выходе, и мне пришлось снизить качество звука до ""FM"" вместо стандартного ""CD""."|качество звука|negative|0
259|Я заказал машину по индивидуальному заказу в HP и вообще НЕ мог понять техника из-за его акцента.|техник|negative|0
0|Я заряжаю его ночью и не беру с собой шнур, потому что у него отличное время работы от аккумулятора.|шнур|neutral|0
4|"Техник сказал, что сервисный центр не делает обмен 1 к 1, и мне нужно обратиться в ""отдел продаж"", то есть в магазин, где я купил нетбук."|техник|neutral|0
17|Одной ночью я выключил эту штуку после использования, а на следующий день включаю — нет графического интерфейса, экран тёмный, индикатор питания горит ровно, индикатор жёсткого диска не мигает, как обычно.|индикатор питания|neutral|0
19|Я вернул его и взял Asus, но та же история — синий экран, требующий извлечения батареи для сброса.|аккумулятор|neutral|0
24|Однако мультитач-жесты и большая область трекпада делают внешнюю мышь ненужной (если только вы не играете).|внешняя мышь|neutral|0
25|Однако мультитач-жесты и большая область трекпада делают внешнюю мышь ненужной (если только вы не играете).|игры|neutral|0
31|Когда я наконец запустил всё с установленным ПО и подключил свой Droid для зарядки, система зависла.|ПО|neutral|0
36|"Я также получил бонус в виде 30-дюймового HD-монитора, который действительно помогает расширить экран и снизить нагрузку на глаза!"|экран|neutral|0
50|"В отчаянии я позвонил в их службу поддержки, и мне сказали, что моя гарантия истекла (ноутбуку 2 дня), и за привилегию поговорить с техником мне придётся заплатить (""имейте готовую кредитку"")."|номер службы поддержки|neutral|0
55|Также, похоже, была проблема с жёстким диском, так как иногда Windows загружалась, но не могла найти драйверы или файлы.|драйверы|neutral|0
59|Потратил 2 часа на телефон с техподдержкой HP.|техподдержка HP|neutral|0
62|Каждую ночь мой компьютер делает дефрагментацию и проверку на вирусы.|проверка на вирусы|neutral|0
64|Он работает так же быстро с одной открытой программой, как и с шестнадцатью.|программа|neutral|0
68|Тот факт, что вы можете потратить более $100 только на веб-камеру, подчёркивает ценность этого устройства.|веб-камера|neutral|0
70|Я в основном использую его для email, интернета и управления личными файлами (фото, видео и т.д.).|интернет|neutral|0
71|Я в основном использую его для email, интернета и управления личными файлами (фото, видео и т.д.).|управление файлами|neutral|0
79|Мне также нравится, что мой MacBook Pro позволяет запускать Windows 7 через программу VMWare.|программа VMWare|neutral|0
85|Я хотел купить расширенную гарантию, но они отказали, потому что знали, что это проблемный товар.|расширенная гарантия|neutral|0
86|Мы увеличили память до четырёх гигабайт, чтобы воспользоваться приростом производительности и скорости.|память|neutral|0
112|Аккумулятора хватает на 10 часов при веб-сёрфинге и работе с текстом, что идеально для учёбы или офиса, а в играх и при просмотре фильмов — чуть более 5 часов.|игры|neutral|0
113|Аккумулятора хватает на 10 часов при веб-сёрфинге и работе с текстом, что идеально для учёбы или офиса, а в играх и при просмотре фильмов — чуть более 5 часов.|просмотр фильмов|neutral|0
114|Аккумулятора хватает на 10 часов при веб-сёрфинге и работе с текстом, что идеально для учёбы или офиса, а в играх и при просмотре фильмов — чуть более 5 часов.|веб-сёрфинг|neutral|0
115|Аккумулятора хватает на 10 часов при веб-сёрфинге и работе с текстом, что идеально для учёбы или офиса, а в играх и при просмотре фильмов — чуть более 5 часов.|работа с текстом|neutral|0
117|"Я также купил в Office Max страховку ""Max Assurance"" с пунктом ""без лимона""."|"страховка Office Max"|neutral|0
118|В итоге я перенёс данные с резервного диска моего iMac, используя USB.|резервный диск iMac|neutral|0
119|В итоге я перенёс данные с резервного диска моего iMac, используя USB.|USB|neutral|0
122|Температуры снаружи были нормальные, но я не отслеживал температуру процессора.|температуры|neutral|0
123|Температуры снаружи были нормальные, но я не отслеживал температуру процессора.|температура процессора|neutral|0
124|Сегодня отнесу его в сервис.|сервис|neutral|0
127|Итак, я посетил сервисный центр LG на Александра-роуд, надеясь, что они подтянут петли.|сервисный центр LG|neutral|0
129|Моя дочь использует его для игр, email, facebook, фото и музыки.|игры|neutral|0
132|Примерно через неделю мне его вернули и сказали, что материнская плата вышла из строя, поэтому они установили новую.|материнская плата|neutral|1
144|Через 10 минут обычного использования произошёл сбой системы охлаждения, и компьютер не мог продолжить работу из-за этой ошибки.|использование|neutral|0
148|Если вам действительно нужна мощная система и не нужно запускать Windows-приложения, выбирайте Apple.|Windows-приложения|neutral|0
150|Он весил около семи фунтов или около того.|вес|neutral|0
151|Он весил около семи фунтов или около того.|семь фунтов|neutral|0
153|Возможно, вам придётся заказать сумку отдельно.|сумка|neutral|0
160|Мне казалось, что белые Mac слишком быстро выглядят грязными в области тачпада и где лежат руки при печати.|тачпад|neutral|0
165|Нет претензий к их десктопу, возможно потому что он просто стоит на столе, и вы не носите его с собой, что могло бы повредить жёсткий диск или материнскую плату.|жёсткий диск|neutral|0
166|Нет претензий к их десктопу, возможно потому что он просто стоит на столе, и вы не носите его с собой, что могло бы повредить жёсткий диск или материнскую плату.|материнская плата|neutral|0
174|Я также попробовал тачпад и сравнил его с другими нетбуками в магазине.|тачпад|neutral|0
183|Моя любимая часть этого компьютера — наличие VGA-порта, так что я могу подключить его к большему экрану.|экран|neutral|0
216|Отчасти это из-за того, что он работает на Windows Vista?|Windows Vista|neutral|0
