|text|span|label|ordinal
164|BEST BUY - 5 STARS + + + (sales, service, respect for old men who aren't familiar with the technology) DELL COMPUTERS - 3 stars DELL SUPPORT - owes a me a couple|DELL SUPPORT|positive|0
167|Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.|speed|positive|0
168|Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.|construction quality|positive|0
169|Yes, they cost more, but they more than make up for it in speed, construction quality, and longevity.|longevity|positive|0
171|"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc."|keyboard|positive|1
172|"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc."|keys|positive|0
173|"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc."|"configuration of ""extra key"""|positive|0
175|It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.|use|positive|0
176|It absolutely is more expensive than most PC laptops, but the ease of use, security, and minimal problems that have arisen make it well worth the pricetag.|security|positive|0
180|lots of preloaded software.|preloaded software|positive|0
182|My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.|vga port|positive|0
184|Another thing I might add is the battery life is excellent.|battery life|positive|0
186|Acer was no help and Garmin could not determine the problem(after spending about 2 hours with me), so I returned it and purchased a Toshiba R700 that seems even nicer and I was able to load all of my software with no problem.|software|positive|0
189|I play a lot of casual games online, and the touchpad is very responsive.|touchpad|positive|0
190|Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.|boots up|positive|0
192|It is everything I'd hoped it would be from a look and feel standpoint, but somehow a bit more sturdy.|look and feel standpoint|positive|0
195|the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.|Mozzilla firfox|positive|0
199|Great battery, speed, display.|battery|positive|0
200|Great battery, speed, display.|speed|positive|0
201|Great battery, speed, display.|display|positive|0
202|The delivery was fast, and I would not hesitate to purchase this laptop again.|delivery|positive|0
203|I've been impressed with the battery life and the performance for such a small amount of memory.|battery life|positive|0
204|I've been impressed with the battery life and the performance for such a small amount of memory.|performance|positive|0
206|It's applications are terrific, including the replacements for Microsoft office.|applications|positive|0
207|It's applications are terrific, including the replacements for Microsoft office.|Microsoft office|positive|0
222|My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!|ethernet|positive|0
223|My dad has one of the very first Toshibas ever made, yes its abit slow now but still works well and i hooked to my ethernet!|works|positive|0
224|Mostly I love the drag and drop feature.|drag and drop feature|positive|0
226|I ordered through MacMall, which saved me the sales tax I would have incurred buying locally.|sales tax|positive|0
227|Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.|software packages|positive|0
228|Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.|iWork|positive|0
229|Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.|GarageBand|positive|0
230|Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.|iMovie|positive|0
231|The screen is very large and crystal clear with amazing colors and resolution.|screen|positive|0
232|The screen is very large and crystal clear with amazing colors and resolution.|colors|positive|0
2|"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from."|service center|negative|0
3|"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from."|"""sales"" team"|negative|0
15| One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.|GUI|negative|0
16| One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.|screen|negative|0
18| One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.|hard drive light|negative|0
21|In the shop, these MacBooks are encased in a soft rubber enclosure - so you will never know about the razor edge until you buy it, get it home, break the seal and use it (very clever con).|edge|negative|0
29|I can barely use any usb devices because they will not stay connected properly.|usb devices|negative|0
32|When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.|system|negative|0
33|One suggestion I do have, is to not bother getting Microsoft office for the mac expecting it will work just like you knew it to on a PC.|Microsoft office for the mac|negative|0
37|The machine is slow to boot up and occasionally crashes completely.|boot up|negative|0
38|After paying several hundred dollars for this service, it is frustrating that you cannot get help after hours.|service|negative|0
44|After numerous attempts of trying (including setting the clock in BIOS setup directly), I gave up(I am a techie).|clock in BIOS setup|negative|0
45|YOU WILL NOT BE ABLE TO TALK TO AN AMERICAN WARRANTY SERVICE IS OUT OF COUNTRY.|WARRANTY SERVICE|negative|0
46|but now i have realized its a problem with this brand.|brand|negative|0
49|Also kinda loud when the fan was running.|fan|negative|0
51|"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"")."|warranty|negative|0
52|"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"")."|talking to a technician|negative|0
53|There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.|hard disc|negative|0
54|There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.|windows|negative|0
57|Drivers updated ok but the BIOS update froze the system up and the computer shut down.|BIOS update|negative|0
58|Drivers updated ok but the BIOS update froze the system up and the computer shut down.|system|negative|0
60|Speaking of the browser, it too has problems.|browser|negative|0
61|The keyboard is too slick.|keyboard|negative|0
63|It's like 9 punds, but if you can look past it, it's GREAT!|9 punds|negative|0
65|Still under warrenty so called Toshiba, no help at all.|warrenty|negative|0
66|I was happy with My purchase of a Toshiba Satellite L305D-S5934 laptop until it came time to have it repaired under the Toshiba Warranty.|Toshiba Warranty|negative|0
72|A month or so ago, the freaking motherboard just died.|motherboard|negative|0
73|The system it comes with does not work properly, so when trying to fix the problems with it it started not working at all.|system|negative|0
74|Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.|charger|negative|0
75|Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.|hardware|negative|0
77|It rarely works and when it does it's incredibly slow.|works|negative|0
84|Purchased a Toshiba Lap top it worked good until just after the warrenty went out.|warrenty|negative|0
89|The reality was, it heated up very quickly, and took way too long to do simple things, like opening my Documents folder.|opening my Documents folder|negative|0
90|I had always used PCs and been constantly frustrated by the crashing and the poorly designed operating systems that were never very intuitive.|operating systems|negative|0
91|Then, within 5 months, the charger crapped out on me.|charger|negative|0
94|  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.|hard drive|negative|0
95|  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.|mother board|negative|0
98|still testing the battery life as i thought it would be better, but am very happy with the upgrade.|battery life|negative|0
99|Then HP sends it back to me with the hardware screwed up, not able to connect.|hardware|negative|0
100|Oh yeah, don't forget the expensive shipping to and from HP.|shipping|negative|0
102|Everything is so easy to use, Mac software is just so much simpler than Microsoft software.|Microsoft software|negative|0
104|And if you do a lot of writing, editing is a problem since there is no  forward delete  key.|delete  key|negative|0
105|And if you do a lot of writing, editing is a problem since there is no  forward delete  key.|editing|negative|0
121|Enabling the battery timer is useless.|battery timer|negative|0
126|But we had paid for bluetooth, and there was none.|bluetooth|negative|0
128|So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.|hinge|negative|0
131|After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.|motherboard|negative|0
133|It was slow, locked up, and also had hardware replaced after only 2 months!|hardware|negative|0
134|they had to replace the motherboard in April|motherboard|negative|0
136|Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.|representive at Microsoft|negative|0
137|Also, if you need to talk to a representive at Microsoft, there is a charge, which I believe is robbery, since you are charged enormous amounts for a very badly designed system, which most people would have went with XP if they could.|system|negative|0
140|I love WIndows 7 which is a vast improvment over Vista.|Vista|negative|0
142|Dell's customer disservice is an insult to it's customers who pay good money for shoddy products.|Dell's customer disservice|negative|0
143|It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.|cooling system|negative|0
149|You won't have to spend gobs of money on some inefficient virus program that needs to be updated every month and that constantly drains your wallet.|virus program|negative|0
152|2 months later, the battery went.|battery|negative|0
155|keys are all in weird places and is way too large for the way it is designed.|keys|negative|0
156|keys are all in weird places and is way too large for the way it is designed.|designed|negative|0
161|And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.|battery|negative|0
178|  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.|use|negative|0
179|  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.|work|negative|0
181|I wish it had a webcam though, then it would be perfect!|webcam|negative|0
185|One drawback, I wish the keys were backlit.|keys|negative|0
187|I wish the volume could be louder and the mouse didnt break after only a month.|volume|negative|0
188|I wish the volume could be louder and the mouse didnt break after only a month.|mouse|negative|0
191|It caught a virus that completely wiped out my hard drive in a matter of hours.|hard drive|negative|0
193|the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.|safari|negative|0
194|the only fact i dont like about apples is they generally use safari and i dont use safari but after i install Mozzilla firfox i love every single bit about it.|safari|negative|1
196|The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.|Bluetooth|negative|0
197|The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.|fingerprint reader driver|negative|0
198|The Bluetooth was not there at all, and the fingerprint reader driver would be there, but the software would hang after installation was 1/2 way done.|software|negative|0
205|I've been impressed with the battery life and the performance for such a small amount of memory.|memory|negative|0
208|they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.|Resolution|negative|0
209|they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.|appearance|negative|0
210|they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.|cooling system|negative|0
211|they improved nothing else such as Resolution, appearance, cooling system, graphics card, etc.|graphics card|negative|0
212|I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.|built-in webcam|negative|0
213|I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.|built-in mic|negative|0
214|I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.|cam|negative|1
215|I got it back and my built-in webcam and built-in mic were shorting out anytime I touched the lid, (mind you this was my means of communication with my fiance who was deployed) but I suffered thru it and would constandly have to reset the computer to be able to use my cam and mic anytime they went out.|mic|negative|1
217|  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.|board|negative|0
218|  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.|connector|negative|0
219|  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.|power supply|negative|0
220|  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.|warrenty|negative|0
221|  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.|power supply|negative|1
225|oh yeah, and if the fancy webcam breaks guess who you have to send it to to get it fixed?|webcam|negative|0
234|After a little more than a year of owning my MacBook Pro, the monitor has completely died.|monitor|negative|0
236|Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.|Size|negative|0
238|Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.|base installation|negative|0
239|Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.|software|negative|0
240|  Taking it back to Best Buy I found that a tiny plastic piece inside had broken (manuf issue).|manuf|negative|0
244|The AMD Turin processor seems to always perform so much better than Intel.|Intel|negative|0
246|The start menu is not the easiest thing to navigate due to the stacking.|start menu|negative|0
247|The start menu is not the easiest thing to navigate due to the stacking.|navigate|negative|0
248|Only thing I would want to add to this is an internal bluray read/write drive.|bluray read/write drive|negative|0
249|The service tech said he had tried to duplicate the damage and wasn't able to recreate it therefore it had to be their defect.|service tech|negative|0
250|The tech store I purchased this from sent it back,,,,,eventually I got a new or repaired machine approximately 3 weeks later.|tech store|negative|0
256|High price tag, however.|price tag|negative|0
258|"I had static in the output, and I had to reduce the sound output quality to ""FM"" as opposed to the default ""CD."|sound output quality|negative|0
259|I custom ordered the machine from HP and could NOT understand the techie due to his accent.|techie|negative|0
0|I charge it at night and skip taking the cord with me because of the good battery life.|cord|neutral|0
4|"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the ""sales"" team, which is the retail shop which I bought my netbook from."|tech guy|neutral|0
17| One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.|power light|neutral|0
19|I took it back for an Asus and same thing- blue screen which required me to remove the battery to reset.|battery|neutral|0
24|However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).|external mouse|neutral|0
25|However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).|gaming|neutral|0
31|When I finally had everything running with all my software installed I plugged in my droid to recharge and the system crashed.|software|neutral|0
36|"I also got the added bonus of a 30"" HD Monitor, which really helps to extend my screen and keep my eyes fresh!"|screen|neutral|0
50|"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me (""have your credit card ready"")."|Customer Service number|neutral|0
55|There also seemed to be a problem with the hard disc as certain times windows loads but claims to not be able to find any drivers or files.|drivers|neutral|0
59|Spent 2 hours on phone with HP Technical Support.|HP Technical Support|neutral|0
62|Nightly my computer defrags itself and runs a virus scan.|virus scan|neutral|0
64|It's just as fast with one program open as it is with sixteen open.|program|neutral|0
68|The fact that you can spend over $100 on just a webcam underscores the value of this machine.|webcam|neutral|0
70|I mainly use it for email, internet, and managing personal files (pics, vids, etc.).|internet|neutral|0
71|I mainly use it for email, internet, and managing personal files (pics, vids, etc.).|managing personal files|neutral|0
79|I also enjoy the fact that my MacBook Pro laptop allows me to run Windows 7 on it by using the VMWare program.|VMWare program|neutral|0
85|I wanted to purchase the extended warranty and they refused, because they knew it was trouble.|extended warranty|neutral|0
86|We upgraded the memory to four gigabytes in order to take advantage of the performace increase in speed.|memory|neutral|0
112|It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.|gaming|neutral|0
113|It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.|movie playing|neutral|0
114|It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.|web browsing|neutral|0
115|It has a 10 hour battery life when you're doing web browsing and word editing, making it perfect for the classroom or office, and in terms of gaming and movie playing it'll have a battery life of just over 5 hours.|word editing|neutral|0
117|"I also purchased Office Max's ""Max Assurance"" with the ""no lemon"" clause."|"Office Max's ""Max Assurance"""|neutral|0
118|I eventually did the migration from my iMac backup disc which uses USB.|iMac backup disc|neutral|0
119|I eventually did the migration from my iMac backup disc which uses USB.|USB|neutral|0
122|Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.|Temperatures|neutral|0
123|Temperatures on the outside were alright but i did not track in Core Processing Unit temperatures.|Core Processing Unit temperatures|neutral|0
124|Going to bring it to service today.|service|neutral|0
127|So, I paid a visit to LG notebook service center at Alexandra Road, hoping they can make the hinge tighter.|LG notebook service center|neutral|0
129|My daughter uses it for games, email, facebook, pictures and music.|games|neutral|0
132|After about a week I finally got it back and was told that the motherboard had failed and so they installed a new motherboard.|motherboard|neutral|1
144|It had a cooling system malfunction after 10 minutes of general use, and would not move past this error.|use|neutral|0
148|If you really want a bang-up system and don't need to run Windows applications, go with an Apple;|Windows applications|neutral|0
150|It weighed like seven pounds or something like that.|weighed|neutral|0
151|It weighed like seven pounds or something like that.|seven pounds|neutral|0
153|You may need to special order a bag.|bag|neutral|0
160|I thought the white Mac computers looked dirty too quicly where you use the mousepad and where you place your hands when typing.|mousepad|neutral|0
165|no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.|hard drive|neutral|0
166|no complaints with their desktop, and maybe because it just sits on your desktop, and you don't carry it around, which could jar the hard drive, or the motherboard.|motherboard|neutral|0
174|) I also tried the touch pad and compared it to other netbooks in the store.|touch pad|neutral|0
183|My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.|screen|neutral|0
216|Is this partially due to the fact that it is running Windows Vista?|Windows Vista|neutral|0
237|Size: I know 13 is small (especially for a desktop replacement) but with an external monitor, who cares.|external monitor|neutral|0
245|  After that the said it was under warranty.|warranty|neutral|0
263|If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.|ports|neutral|0
264|If you check you will find the same notebook with the above missing ports and a dual core AMD or Intel processor.|processor|neutral|0
276|I bought a protector for my key pad and it works great :)|protector|neutral|0
292|I had purchased it from a major electronics store and took it to their service department to find out what the problem was.|service department|neutral|0
295|I always use a backup hard disk to store important files at all times.|hard disk|neutral|0
299|But the screen size is not that bad for email and web browsing.|web browsing|neutral|0
301|Once I removed all the software the laptop loads in 15-20 seconds.|loads|neutral|0
303|On my PowerBook G4 I would never use the trackpad I would use an external mouse because I didn't like the trackpad.|external mouse|neutral|0
306|"Obviously one of the most important features of any computer is the ""human interface."|features|neutral|0
307|"Obviously one of the most important features of any computer is the ""human interface."|human interface|neutral|0
312|With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.|antivirus software|neutral|0
313|With a mac you don't have to worry about antivirus software or firewall, it's so wonderful.|firewall|neutral|0
318|I think part of the problem with this computer is Vista, yet I know Vista isn't the entire issue because my latest purchase was my Acer and it also has Vista (I should have waited the few months to get the next operating system).|operating system|neutral|0
324|Fan vents to the side, so no cooling pad needed, great feature!|cooling pad|neutral|0
334|My wireless system would not recognize Windows 7 and I couldn't get online to find out why.|Windows 7|neutral|0
347|I need graphic power to run my Adobe Creative apps efficiently.|graphic power|neutral|0
348|I need graphic power to run my Adobe Creative apps efficiently.|Adobe Creative apps|neutral|0
357|  upon giving them the serial number the first thing I was told, was that it was out of warranty and I could pay to have it repaired.|warranty|neutral|0
383|That system is fixed.|system|neutral|0
389|This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.|ground loop isolator|neutral|0
392|I 'have had it for about a 1 1/2 and yes I have had an issue with it one month out of warranty.|warranty|neutral|0
394|Loaded with bloatware.|bloatware|neutral|0
399|Great Laptop for the price, works well with action pack games.|action pack games|neutral|0
415|The games included are very good games.|games|neutral|0
425|however, I may have inadvertently thrown out one of the batteries with the shipping carton.|batteries|neutral|0
426|however, I may have inadvertently thrown out one of the batteries with the shipping carton.|shipping carton|neutral|0
434|The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.|hardware|neutral|0
435|The processor screams, and because of the unique way that Apple OSX 16 functions, most of the graphics are routed through the hardware rather than the software.|software|neutral|0
436|I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV.|Intel Core processors|neutral|0
437|I wanted something that had a new Intel Core processors and HDMI port so that we could hook it up directly to our TV.|HDMI port|neutral|0
444|it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.|usb ports|neutral|0
445|it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.|sd memory card reader|neutral|0
446|it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.|sd memory car expansion|neutral|0
447|I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.|LaCie 2Big external drive|neutral|0
449|I connect a LaCie 2Big external drive via the firewire 800 interface, which is useful for Time Machine.|Time Machine|neutral|0
470|Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;|Windows 7 Starter|neutral|0
471|Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;|Windows 7 Home Premium|neutral|0
472|Upgrading from Windows 7 Starter, thru Windows 7 Home Premium, to Windows 7 Professional was a snap;|Windows 7 Professional|neutral|0
474|My kids (and dogs) destroyed two power cords by pulling on them.|power cords|neutral|0
480|not using wired lan not sure what thats about.|wired lan|neutral|0
485|Apple care included.|Apple care|neutral|0
491|Finally, I should note that I took the 2GB RAM stick from my old EeePC and installed it before I even powered on for the first time.|2GB RAM stick|neutral|0
493|After sending out documents via email and having recipients tell me they could not open the documents or they came through as gibberish, I broke down and spent another $100 to get Microsoft Word for Mac.|Microsoft Word for Mac|neutral|0
505|I love the dock where I can simply drop a file ontop of a particular program, and the program will simply open that file.|program|neutral|0
516|I needed a driver for my HP and they would not help me with out me paying over $50 for it.|driver|neutral|0
517|Call tech support, standard email the form and fax it back in to us.|tech support|neutral|0
535|There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.|programs|neutral|0
536|There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.|Garageband|neutral|0
537|There are several programs for school or office use (Pages, Numbers, Keynote, etc.), music (Garageband), photo management (Photo Booth, iPhoto), video-editing or movie-making (iMovie), etc.|Photo Booth|neutral|0
