|text|span|label|ordinal
75|The food at this restaurant was delicious , but the service was slow and unresponsive .|food|positive|0
79|The ambiance of this restaurant was great and the staff were friendly , but the food was mediocre at best .|ambiance|positive|0
80|The ambiance of this restaurant was great and the staff were friendly , but the food was mediocre at best .|staff|positive|0
85|I love it when the weather is warm and sunny , it puts me in such a good mood !|weather|positive|0
86|I love it when the weather is warm and sunny , it puts me in such a good mood !|it|positive|0
90|The battery life of this new smartphone is impressive , but the camera quality could be better .|battery life|positive|0
93|I love the sleek design of this new tablet , but the sound quality could be improved .|sleek design|positive|0
96|The doctor was very helpful and kind throughout my entire treatment .|doctor|positive|0
97|The doctor was very helpful and kind throughout my entire treatment .|doctor|positive|0
101|The new banking app is great , but the fees associated with it are too high .|banking app|positive|0
105|The customer service at this credit card company is top-notch , and they always go above and beyond to help their customers .|customer service|positive|0
106|The customer service at this credit card company is top-notch , and they always go above and beyond to help their customers .|credit card company|positive|0
108|I recently started taking a new medication for my anxiety , and it's been a complete game-changer . I finally feel like I can function again .|medication|positive|0
111|The police department's efforts to combat crime have been commendable .|police department's|positive|0
114|The new science textbook is comprehensive and well-written , making it easy to understand complex concepts .|science textbook|positive|0
117|I was pleasantly surprised by the variety of products offered at this business . They had everything I needed and more .|products offered|positive|0
119|The hotel staff was friendly and accommodating , but the room was dirty and smelled musty .|hotel staff|positive|0
122|The location of the hotel was perfect , right in the heart of the city . However , the breakfast buffet was disappointing and lacked variety .|location of the hotel|positive|0
125|The plot of this book is quite engaging and keeps you hooked till the end . However , the characters lack depth and development .|plot|positive|0
127|The language used in this book is beautiful and poetic . It's a pleasure to read and savor every word .|language|positive|0
131|The new soccer stadium is amazing , but the parking situation is terrible .|soccer stadium|positive|0
133|I love playing basketball with my friends , but the gym we play at is always too crowded .|basketball|positive|0
136|The police department's efforts to combat crime have been impressive , and the community is grateful .|police department's|positive|0
137|The police department's efforts to combat crime have been impressive , and the community is grateful .|efforts to combat crime|positive|0
138|The police department's efforts to combat crime have been impressive , and the community is grateful .|community|positive|0
142|The doctors at this clinic are extremely knowledgeable and caring .|clinic|positive|0
143|The doctors at this clinic are extremely knowledgeable and caring .|clinic|positive|0
144|I was pleasantly surprised by how quickly I was able to get an appointment with the specialist .|specialist|positive|0
147|I was pleasantly surprised by how knowledgeable and helpful my lawyer was throughout the entire legal process .|lawyer|positive|0
148|I was pleasantly surprised by how knowledgeable and helpful my lawyer was throughout the entire legal process .|lawyer|positive|0
151|The food at this restaurant was delicious , but the service was slow and unresponsive .|food|positive|0
156|The ambiance of this restaurant was amazing , and the staff were incredibly friendly and accommodating .|ambiance|positive|0
157|The ambiance of this restaurant was amazing , and the staff were incredibly friendly and accommodating .|staff|positive|0
158|The movie was visually stunning , but the plot was confusing and hard to follow .|movie|positive|0
161|The concert was amazing , and the singer's voice was incredible .|concert|positive|0
162|The concert was amazing , and the singer's voice was incredible .|singer's voice|positive|0
163|The game was entertaining , but the graphics were outdated and could use an upgrade .|game|positive|0
166|The sound quality of these headphones is amazing , but the comfort could be better .|headphones|positive|0
170|The new online learning platform is great for students who want to study at their own pace , but some of the course materials are outdated .|online learning platform|positive|0
172|The teacher was knowledgeable and engaging , but the class was too large and it was difficult to get individual attention .|teacher|positive|0
173|The teacher was knowledgeable and engaging , but the class was too large and it was difficult to get individual attention .|teacher|positive|0
176|The sound quality of this speaker is amazing , but the design is a bit bulky .|sound quality|positive|0
178|I love the selection of movies available on this streaming service , but the user interface is a bit confusing .|selection of movies|positive|0
181|The plot of this movie was predictable and unoriginal , but the acting was superb .|acting|positive|0
182|The food at this restaurant was delicious , but the service was slow and unresponsive .|food|positive|0
184|The atmosphere of this restaurant was cozy and inviting , and the staff were friendly and helpful .|atmosphere|positive|0
185|The atmosphere of this restaurant was cozy and inviting , and the staff were friendly and helpful .|staff|positive|0
188|The prices at this restaurant were quite high , and the portions were small , but the quality of the food was exceptional .|quality of the food|positive|0
189|I was really impressed with the quality of care I received from the doctors and nurses at the hospital , but the food was terrible .|quality of care|positive|0
191|I appreciate the convenience of having a gym in my apartment building , but the equipment is outdated and often out of order .|gym|positive|0
195|I was disappointed by the lack of cleanliness in the hospital , but the staff was friendly and helpful .|staff|positive|0
196|I was disappointed by the lack of cleanliness in the hospital , but the staff was friendly and helpful .|staff|positive|0
197|The quality of the fabric used in this dress is top-notch , but the design could have been better .|fabric|positive|0
199|The shoes I bought from this brand are stylish and comfortable , but they are a bit overpriced .|shoes|positive|0
201|The customer service of this fashion store is excellent , but the delivery time is too long .|customer service|positive|0
204|I appreciate the fact that my local representative is accessible and responsive to my concerns .|local representative|positive|0
206|The plot of this movie was interesting , but the acting was terrible .|plot|positive|0
208|I loved the special effects in this movie , but the ending was disappointing .|special effects|positive|0
210|The soundtrack for this movie was amazing , and the cinematography was stunning .|soundtrack|positive|0
211|The soundtrack for this movie was amazing , and the cinematography was stunning .|cinematography|positive|0
213|The hotel had a beautiful view of the ocean and the staff were very friendly and accommodating .|hotel|positive|0
214|The hotel had a beautiful view of the ocean and the staff were very friendly and accommodating .|staff|positive|0
219|I was really impressed with the quality of care I received at the hospital .|quality of care|positive|0
221|I appreciate that my health insurance covers a wide range of services .|health insurance|positive|0
222|After trying this new health supplement for a few weeks , I have noticed a significant improvement in my energy levels and overall well-being .|health supplement|positive|0
225|The plot of this book was intriguing , but the characters were poorly developed .|plot|positive|0
228|I found the writing style of this book to be tedious and difficult to follow , but the ending was satisfying .|ending|positive|0
229|The author did an excellent job of creating a vivid setting , but the pacing of the story was slow .|author|positive|0
231|The new smartphone model has a sleek design and impressive features , but the battery life is disappointingly short .|smartphone model|positive|0
232|The new smartphone model has a sleek design and impressive features , but the battery life is disappointingly short .|smartphone model|positive|0
234|The latest software update has fixed several bugs and improved performance , but it has also introduced new compatibility issues with certain devices .|software update|positive|0
235|The latest software update has fixed several bugs and improved performance , but it has also introduced new compatibility issues with certain devices .|software update|positive|0
237|The virtual reality headset provides an immersive and realistic experience , but it can be uncomfortable to wear for extended periods of time .|virtual reality headset|positive|0
238|The virtual reality headset provides an immersive and realistic experience , but it can be uncomfortable to wear for extended periods of time .|virtual reality headset|positive|0
240|The sound quality of this album is amazing , but the lyrics are disappointing .|sound quality|positive|0
242|The vocals on this track are powerful and emotional , but the instrumentals are too repetitive .|vocals|positive|0
244|The quality of the clothes is great , but the customer service is terrible .|clothes is|positive|0
246|I love the variety of options available , but the prices are a bit steep .|options available|positive|0
256|The plot of the movie was intriguing , but the acting was mediocre .|plot|positive|0
258|The special effects were impressive , but the storyline was predictable .|special effects|positive|0
260|The movie was a rollercoaster of emotions it made me laugh , cry , and feel inspired .|movie|positive|0
261|As a frequent customer of this business , I have to say that their customer service is top-notch .|customer of|positive|0
263|The prices at this business are quite reasonable , which is a big plus in my book .|prices|positive|0
266|The shoes I ordered online arrived quickly and looked exactly like the picture on the website .|shoes|positive|0
267|The shoes I ordered online arrived quickly and looked exactly like the picture on the website .|shoes|positive|0
268|I love the variety of styles available at this boutique , but the prices are a bit steep .|styles|positive|0
272|I love shopping at this store because they always have the latest fashion trends and the staff is helpful .|store|positive|0
273|I love shopping at this store because they always have the latest fashion trends and the staff is helpful .|staff|positive|0
274|The shoes I bought from this brand are stylish and comfortable , but they started falling apart after only a few wears .|shoes|positive|0
275|The shoes I bought from this brand are stylish and comfortable , but they started falling apart after only a few wears .|shoes|positive|0
277|Despite the high interest rates , I appreciate the flexibility of this credit card's payment options .|credit card's|positive|0
279|This investment opportunity seems too good to be true , but I'm cautiously optimistic about its potential returns .|investment opportunity|positive|0
280|This investment opportunity seems too good to be true , but I'm cautiously optimistic about its potential returns .|potential returns|positive|0
281|The pasta dish at this restaurant was absolutely delicious , but the service was slow and unresponsive .|pasta dish|positive|0
283|The ambiance of this cafe is cozy and inviting , but the coffee could have been better .|ambiance|positive|0
286|I was disappointed with the portion size of the entree , but the dessert was heavenly .|dessert|positive|0
287|The plot of this book was intriguing , but the writing style was difficult to follow .|plot|positive|0
289|I found the characters in this book to be well-developed and relatable , but the ending left me feeling unsatisfied .|characters|positive|0
291|The author's use of descriptive language in this book was impressive , but the pacing of the story was slow .|author's use of descriptive language|positive|0
293|The new movie that just came out is visually stunning , but the plot is weak and unoriginal .|movie|positive|0
295|I love going to concerts , but the sound quality at this one was terrible .|concerts|positive|0
297|The book I just finished reading was a rollercoaster of emotions , but the ending left me feeling unsatisfied .|book|positive|0
299|The food at this restaurant was delicious , but the service was slow and unresponsive .|food|positive|0
302|I was disappointed with the portion sizes at this restaurant , but the ambiance and decor were lovely .|ambiance and decor|positive|0
303|The staff at this restaurant were incredibly friendly and accommodating , but the prices were a bit steep for the quality of food .|staff|positive|0
305|The quality of the clothes is good , but the prices are too high .|quality of the|positive|0
307|I love the new collection by this designer , especially the dresses .|new collection|positive|0
308|I love the new collection by this designer , especially the dresses .|dresses|positive|0
309|The room was spacious and comfortable , but the bathroom was dirty and smelled bad .|room|positive|0
311|The staff was friendly and helpful , but the food at the hotel restaurant was terrible .|staff|positive|0
313|The location of the hotel was perfect , right in the heart of the city , but the noise level from the street was unbearable .|location of the|positive|0
315|The hotel room was spacious and clean , but the breakfast was disappointing .|hotel room|positive|0
316|The hotel room was spacious and clean , but the breakfast was disappointing .|hotel room|positive|0
318|The staff was friendly and helpful , but the Wi-Fi was slow and unreliable .|staff|positive|0
319|The staff was friendly and helpful , but the Wi-Fi was slow and unreliable .|staff|positive|0
322|The location of the hotel was great , but the noise level was too high .|location|positive|0
324|The quality of the fabric used in this dress is excellent , but the fit is not flattering at all .|fabric|positive|0
326|The new collection of handbags is absolutely stunning , and the price range is quite reasonable .|handbags|positive|0
327|The new collection of handbags is absolutely stunning , and the price range is quite reasonable .|price range|positive|0
332|I recently invested in a new stock and it's been performing really well . I'm optimistic about its future growth potential .|new stock|positive|0
333|I recently invested in a new stock and it's been performing really well . I'm optimistic about its future growth potential .|future growth potential|positive|0
341|I love how easy it is to set up this new smart home device , it took me only a few minutes to get it up and running .|smart home device|positive|0
343|The pizza was delicious but the service was terrible .|pizza|positive|0
345|I love the ambience of this restaurant , but the portion sizes are too small .|ambience of this|positive|0
347|The sushi was fresh and flavorful , and the waitstaff was friendly and attentive .|sushi|positive|0
348|The sushi was fresh and flavorful , and the waitstaff was friendly and attentive .|waitstaff|positive|0
350|The mosque I visited last week was incredibly welcoming and inclusive . The community members were friendly and made me feel right at home .|mosque|positive|0
351|The mosque I visited last week was incredibly welcoming and inclusive . The community members were friendly and made me feel right at home .|community members|positive|0
353|The online classes for this course were very helpful , but the textbook was poorly written and confusing .|online classes|positive|0
355|The professor was knowledgeable and engaging , but the assignments were too difficult and time-consuming .|professor|positive|0
357|The campus facilities were clean and modern , but the administration was unorganized and unresponsive .|campus facilities|positive|0
359|The new soccer stadium is impressive , but the parking situation is a nightmare .|soccer stadium|positive|0
361|I love playing basketball , but the gym equipment is outdated and needs to be replaced .|basketball|positive|0
364|The football game was exciting , but the food at the concession stand was terrible .|football game|positive|0
367|The doctor's bedside manner was excellent and put me at ease during my check-up .|doctor's bedside manner|positive|0
368|The hospital staff were very helpful and attentive during my stay , but the food options were limited and not very appetizing .|hospital staff|positive|0
371|I love the sleek design of this new laptop , it's so lightweight and easy to carry around .|new laptop|positive|0
373|The food at this restaurant is amazing , but the service is terrible .|food|positive|0
375|I love the variety of dishes offered at this buffet , but the desserts were disappointing .|variety of dishes|positive|0
377|The portion sizes are generous , but the flavors are bland .|portion sizes|positive|0
381|The dessert was absolutely delicious , but the main course was disappointing .|dessert|positive|0
383|The atmosphere in this cafe was cozy and welcoming , and the coffee was perfect .|atmosphere|positive|0
384|The atmosphere in this cafe was cozy and welcoming , and the coffee was perfect .|coffee|positive|0
386|The police officers were very helpful and efficient when I reported a theft from my car .|police officers|positive|0
387|The police officers were very helpful and efficient when I reported a theft from my car .|police officers|positive|0
389|The hospital staff was incredibly kind and attentive during my recent surgery . They made me feel at ease and confident in their abilities .|hospital staff|positive|0
391|Despite the high cost of healthcare in the United States , I was pleased with the quality of care I received during my recent hospital stay .|healthcare|positive|0
395|The pizza was delicious , but the service was terrible .|pizza|positive|0
397|The restaurant had a great atmosphere , but the food was disappointing .|restaurant|positive|0
399|The sushi was fresh and flavorful , and the staff was friendly and attentive .|sushi|positive|0
400|The sushi was fresh and flavorful , and the staff was friendly and attentive .|staff|positive|0
401|I attended a religious ceremony last night and was blown away by the sense of community and belonging that I felt .|religious ceremony|positive|0
402|I attended a religious ceremony last night and was blown away by the sense of community and belonging that I felt .|sense of community|positive|0
403|I attended a religious ceremony last night and was blown away by the sense of community and belonging that I felt .|sense of community|positive|0
406|While I respect everyone's right to practice their own religion , I personally find the idea of organized religion to be limiting and restrictive .|everyone's right to practice their own religion|positive|0
409|The police department's efforts to crack down on organized crime have been commendable .|police department's|positive|0
410|The police department's efforts to crack down on organized crime have been commendable .|organized crime|positive|0
412|The new album by Taylor Swift is a masterpiece , showcasing her incredible vocal range and songwriting skills .|new album|positive|0
1|The quality of the fabric used in this dress is impeccable , but the design is outdated .|design|negative|0
2|I was excited to purchase these shoes , but they were too narrow and uncomfortable to wear for extended periods of time .|shoes|negative|0
3|I was excited to purchase these shoes , but they were too narrow and uncomfortable to wear for extended periods of time .|shoes|negative|0
7|I was really disappointed with the lack of cleanliness at the hospital . The floors were dirty , and the bathrooms were not well-maintained .|cleanliness at the hospital|negative|0
11|The wait time at the clinic was extremely long , and I had to wait for over an hour to see the doctor . This made me feel frustrated and impatient .|wait time at the clinic|negative|0
12|The wait time at the clinic was extremely long , and I had to wait for over an hour to see the doctor . This made me feel frustrated and impatient .|doctor|negative|0
15|The constant bickering and lack of cooperation between political parties is causing great harm to our nation's progress .|political parties|negative|0
16|The constant bickering and lack of cooperation between political parties is causing great harm to our nation's progress .|nation's progress|negative|0
19|I had high expectations for this restaurant , but the service was slow and the portions were small .|service|negative|0
20|I had high expectations for this restaurant , but the service was slow and the portions were small .|portions|negative|0
23|The pizza at this restaurant was so greasy that it made me feel sick .|pizza|negative|0
26|I was disappointed with the quality of the sushi at this establishment .|sushi|negative|0
28|The plot of this book was intriguing , but the writing style was difficult to follow .|writing style|negative|0
31|I found the characters in this book to be relatable and well-developed , but the ending was disappointing .|ending|negative|0
33|The historical accuracy of this book was impressive , but the pacing was slow .|pacing|negative|0
37|2 ) I was disappointed with the new release by Drake . The beats were repetitive and the lyrics lacked depth .|new release|negative|0
38|2 ) I was disappointed with the new release by Drake . The beats were repetitive and the lyrics lacked depth .|beats|negative|0
39|2 ) I was disappointed with the new release by Drake . The beats were repetitive and the lyrics lacked depth .|lyrics|negative|0
45|The movie was visually stunning , but the plot was convoluted and hard to follow .|plot|negative|0
46|The concert was a disappointment , the sound quality was poor and the performers seemed unenthusiastic .|concert|negative|0
47|The concert was a disappointment , the sound quality was poor and the performers seemed unenthusiastic .|sound quality|negative|0
48|The concert was a disappointment , the sound quality was poor and the performers seemed unenthusiastic .|performers|negative|0
52|The customer service at my bank is terrible . They never answer the phone and when they do , they are rude and unhelpful .|customer service|negative|0
55|The stock market has been really volatile lately , which is making me nervous about my investments .|stock market|negative|0
56|The stock market has been really volatile lately , which is making me nervous about my investments .|investments|negative|0
57|The customer service at this bank is terrible . I've been on hold for over an hour and still haven't been able to speak to a representative .|customer service|negative|0
60|I'm disappointed that this investment firm doesn't offer more diversified portfolios . It's important to have a variety of options when it comes to investing .|investment firm|negative|0
62|The flight was delayed for several hours and the airline did not provide any updates or compensation .|flight|negative|0
63|The flight was delayed for several hours and the airline did not provide any updates or compensation .|airline|negative|0
65|The hotel room was spacious and clean , but the staff was unfriendly and unhelpful .|staff|negative|0
76|The food at this restaurant was delicious , but the service was slow and unresponsive .|service|negative|0
77|I was disappointed with the small portion sizes and high prices at this restaurant .|portion sizes|negative|0
78|I was disappointed with the small portion sizes and high prices at this restaurant .|prices|negative|0
82|The weather forecast for this weekend is looking pretty bleak , with heavy rain and thunderstorms predicted .|weather forecast|negative|0
83|The weather forecast for this weekend is looking pretty bleak , with heavy rain and thunderstorms predicted .|rain|negative|0
84|The weather forecast for this weekend is looking pretty bleak , with heavy rain and thunderstorms predicted .|thunderstorms|negative|0
87|The recent cold snap has been absolutely brutal , with temperatures dropping well below freezing and snow piling up everywhere .|cold snap|negative|0
88|The recent cold snap has been absolutely brutal , with temperatures dropping well below freezing and snow piling up everywhere .|temperatures|negative|0
89|The recent cold snap has been absolutely brutal , with temperatures dropping well below freezing and snow piling up everywhere .|snow|negative|0
92|The new software update for my laptop has caused more problems than it has solved .|software update|negative|0
95|I was really disappointed with the lack of cleanliness at the hospital .|cleanliness at the hospital|negative|0
98|The wait time at the clinic was extremely long , which made me feel frustrated and annoyed .|wait time at the clinic|negative|0
99|The wait time at the clinic was extremely long , which made me feel frustrated and annoyed .|me|negative|0
100|The wait time at the clinic was extremely long , which made me feel frustrated and annoyed .|me|negative|0
102|The new banking app is great , but the fees associated with it are too high .|fees|negative|0
103|The stock market has been unpredictable lately , causing many investors to feel anxious .|stock market|negative|0
104|The stock market has been unpredictable lately , causing many investors to feel anxious .|investors|negative|0
107|I've been struggling with a chronic illness for years , and it's been incredibly difficult to find a doctor who takes my symptoms seriously .|doctor|negative|0
109|I was really disappointed with the care I received at the hospital after my surgery . The nurses seemed overworked and disinterested in my recovery .|hospital after|negative|0
110|The recent surge in crime rates in our city is alarming .|crime rates|negative|0
112|I was a victim of a crime last year , and the trauma still haunts me .|victim|negative|0
113|I was excited to attend the science fair , but the lack of organization made it difficult to enjoy .|science fair|negative|0
115|The latest scientific research on climate change is concerning , but it's important to stay informed and take action .|scientific research|negative|0
116|The customer service at this business is terrible . I had to wait on hold for over an hour just to speak to someone .|customer service|negative|0
118|The prices at this business are outrageous . I can't believe they charge so much for such mediocre quality .|prices|negative|0
120|The hotel staff was friendly and accommodating , but the room was dirty and smelled musty .|room|negative|0
121|The hotel staff was friendly and accommodating , but the room was dirty and smelled musty .|room|negative|0
123|The location of the hotel was perfect , right in the heart of the city . However , the breakfast buffet was disappointing and lacked variety .|breakfast buffet|negative|0
124|The location of the hotel was perfect , right in the heart of the city . However , the breakfast buffet was disappointing and lacked variety .|breakfast buffet|negative|0
126|The plot of this book is quite engaging and keeps you hooked till the end . However , the characters lack depth and development .|characters|negative|0
128|I was disappointed with this book as it did not live up to the hype . The story was predictable and the writing lacked originality .|book|negative|0
129|I was disappointed with this book as it did not live up to the hype . The story was predictable and the writing lacked originality .|story|negative|0
130|I was disappointed with this book as it did not live up to the hype . The story was predictable and the writing lacked originality .|writing|negative|0
132|The new soccer stadium is amazing , but the parking situation is terrible .|parking situation|negative|0
134|I love playing basketball with my friends , but the gym we play at is always too crowded .|gym|negative|0
135|Living in a high-crime area can be nerve-wracking , especially when you have children .|high-crime area|negative|0
139|The recent surge in violent crime has left many residents feeling unsafe and anxious .|violent crime|negative|0
140|The recent surge in violent crime has left many residents feeling unsafe and anxious .|violent crime|negative|0
141|I was really disappointed with the lack of cleanliness at the hospital .|hospital|negative|0
145|The law firm's customer service was terrible , and they charged exorbitant fees for their services .|customer service|negative|0
146|The law firm's customer service was terrible , and they charged exorbitant fees for their services .|fees|negative|0
149|The new tax laws are confusing and seem to disproportionately benefit the wealthy .|tax laws|negative|0
150|The new tax laws are confusing and seem to disproportionately benefit the wealthy .|tax laws|negative|0
152|The food at this restaurant was delicious , but the service was slow and unresponsive .|service|negative|0
153|I was really disappointed with the quality of the food at this restaurant . The portions were small and the flavors were bland .|quality of the food|negative|0
154|I was really disappointed with the quality of the food at this restaurant . The portions were small and the flavors were bland .|portions|negative|0
155|I was really disappointed with the quality of the food at this restaurant . The portions were small and the flavors were bland .|flavors|negative|0
159|The movie was visually stunning , but the plot was confusing and hard to follow .|plot|negative|0
160|The movie was visually stunning , but the plot was confusing and hard to follow .|plot|negative|0
164|The game was entertaining , but the graphics were outdated and could use an upgrade .|graphics|negative|0
168|The user interface of this software is confusing and the customer support is unresponsive .|software|negative|0
169|The user interface of this software is confusing and the customer support is unresponsive .|customer support|negative|0
171|The new online learning platform is great for students who want to study at their own pace , but some of the course materials are outdated .|course materials|negative|0
174|The teacher was knowledgeable and engaging , but the class was too large and it was difficult to get individual attention .|class|negative|0
175|The teacher was knowledgeable and engaging , but the class was too large and it was difficult to get individual attention .|individual attention|negative|0
180|The plot of this movie was predictable and unoriginal , but the acting was superb .|plot of this|negative|0
183|The food at this restaurant was delicious , but the service was slow and unresponsive .|service|negative|0
186|The prices at this restaurant were quite high , and the portions were small , but the quality of the food was exceptional .|prices|negative|0
187|The prices at this restaurant were quite high , and the portions were small , but the quality of the food was exceptional .|portions|negative|0
190|I was really impressed with the quality of care I received from the doctors and nurses at the hospital , but the food was terrible .|food|negative|0
192|I appreciate the convenience of having a gym in my apartment building , but the equipment is outdated and often out of order .|equipment|negative|0
193|I appreciate the convenience of having a gym in my apartment building , but the equipment is outdated and often out of order .|equipment|negative|0
194|I was disappointed by the lack of cleanliness in the hospital , but the staff was friendly and helpful .|cleanliness|negative|0
198|The quality of the fabric used in this dress is top-notch , but the design could have been better .|design|negative|0
200|The shoes I bought from this brand are stylish and comfortable , but they are a bit overpriced .|brand|negative|0
202|The customer service of this fashion store is excellent , but the delivery time is too long .|delivery time|negative|0
203|The recent political climate has been tumultuous to say the least .|political climate|negative|0
205|It is disappointing that partisan politics often get in the way of progress and compromise .|partisan politics|negative|0
207|The plot of this movie was interesting , but the acting was terrible .|acting|negative|0
209|I loved the special effects in this movie , but the ending was disappointing .|ending|negative|0
212|The flight was delayed by several hours , which was incredibly frustrating .|flight|negative|0
215|The food on the cruise ship was mediocre at best , and the cabin was small and cramped .|food|negative|0
216|The food on the cruise ship was mediocre at best , and the cabin was small and cramped .|cabin|negative|0
217|The customer service at this business is terrible . I had to wait on hold for over an hour just to speak to someone .|customer service|negative|0
218|The customer service at this business is terrible . I had to wait on hold for over an hour just to speak to someone .|wait on|negative|0
220|The wait time at the doctor's office was ridiculous .|wait time|negative|0
223|The customer service at my local health clinic is terrible . Every time I call , I am put on hold for ages and then transferred to someone who can't help me .|customer service|negative|0
224|I was really disappointed when I went to my doctor's appointment and found out that they were running behind schedule by over an hour . It's frustrating to have to wait so long , especially when you're not feeling well .|doctor's appointment|negative|0
226|The plot of this book was intriguing , but the characters were poorly developed .|characters|negative|0
227|I found the writing style of this book to be tedious and difficult to follow , but the ending was satisfying .|writing style|negative|0
230|The author did an excellent job of creating a vivid setting , but the pacing of the story was slow .|pacing of the story|negative|0
233|The new smartphone model has a sleek design and impressive features , but the battery life is disappointingly short .|battery life|negative|0
236|The latest software update has fixed several bugs and improved performance , but it has also introduced new compatibility issues with certain devices .|compatibility issues with certain devices|negative|0
239|The virtual reality headset provides an immersive and realistic experience , but it can be uncomfortable to wear for extended periods of time .|virtual reality headset|negative|0
241|The sound quality of this album is amazing , but the lyrics are disappointing .|lyrics|negative|0
243|The vocals on this track are powerful and emotional , but the instrumentals are too repetitive .|instrumentals|negative|0
245|The quality of the clothes is great , but the customer service is terrible .|customer service|negative|0
247|I love the variety of options available , but the prices are a bit steep .|prices|negative|0
248|The fashion show was a complete disaster , with poorly designed outfits and unprofessional models .|fashion show|negative|0
249|The fashion show was a complete disaster , with poorly designed outfits and unprofessional models .|outfits and|negative|0
250|The fashion show was a complete disaster , with poorly designed outfits and unprofessional models .|models|negative|0
251|The weather forecast for this weekend is looking bleak with heavy rain and thunderstorms expected .|weather forecast|negative|0
252|The weather forecast for this weekend is looking bleak with heavy rain and thunderstorms expected .|heavy rain and thunderstorms|negative|0
253|The scorching heat and high humidity levels during the summer months make it almost unbearable to be outside for long periods of time .|scorching heat and high humidity levels|negative|0
