|text|span|label|ordinal|norm_span
71|По выходным здесь часто бывает много народу, но обслуживание эффективное и точное.|обслуживание|positive|0|обслуживание
72|Атмосфера непередаваемая, обслуживание безупречное, а еда великолепная.|Атмосфера|positive|0|атмосфера
73|Атмосфера непередаваемая, обслуживание безупречное, еда великолепная.|обслуживание|positive|0|обслуживание
74|Атмосфера непередаваемая, обслуживание безупречное, а еда великолепная.|еда|positive|0|еда
75|Официант дружелюбный, а еда становится все лучше и лучше.|Официант|positive|0|официант
76|Официант приветлив, а еда становится все лучше и лучше!|еда|positive|0|еда
77|По выходным здесь может быть немноголюдно, но атмосфера хорошая, и это лучшая французская кухня, которую вы найдете в этом районе.|атмосфера|positive|0|атмосфера
78|В выходные дни здесь может быть немноголюдно, но атмосфера хорошая, и это лучшая французская кухня, которую вы найдете в этом районе.|французская кухня|positive|0|французская кухня
79|Прямо рядом с L в Бруклине это милое уютное место с хорошей пиццей.|пиццей|positive|0|пицца
80|Прямо у L в Бруклине это милое уютное место с хорошей пиццей.|место|positive|0|место
81|Le Pere Pinard предлагает меню перед театром за 15 долларов, которое является выдающимся.|меню перед театром|positive|0|меню перед театр
82|Мы ели сэндвич с лобстером, и это было ПОТРЯСАЮЩЕ.|сэндвич с лобстером|positive|0|сэндвич с лобстер
83|"Несмотря на то, что ролл ""Паук"" с крабами в мягких панцирях, свисающими с него, может показаться сложным в употребления, он стоит цену, которю вы за него платите."|цену|positive|0|цена
84|"Несмотря на то, что ролл ""Паук"" с крабами в мягких панцирях, свисающими с него, может показаться сложным в употребления, он стоит цену, которю вы за него платите."|крабы в мягких панцирях|positive|0|крабы в мягких панцирях
85|Шашлыки во фритюре - это вкусно, но в Нью-Йорке их все еще редко можно найти.|Шашлыки во фритюре|positive|0|шашлык в фритюр
86|Я также рекомендую блюда из риса или различные сорта рисовой каши (congee).|блюда из риса|positive|0|блюдо из рис
87|Я также рекомендую блюда из риса или различные сорта рисовой каши (congee).|рисовой каши (congee)|positive|0|рисовая каша congee
88|За их закуску с тунцовым тартаром можно умереть.|закуска с тунцовым тартаром|positive|0|закуска с тунцовым тартаром
89|Оазис изысканности: Блюда, хотя и несколько неоднородные, часто достигают вершин новой американской изысканной кухни - страсть шеф-повара (и точное исполнение на кухне) наиболее ярко проявляются в рыбных блюдах и супах.|шеф-повара|positive|0|шеф повар
90|Оазис изысканности: Блюда, хотя и несколько неоднородные, часто достигают вершин новой американской изысканной кухни - страсть шеф-повара (и точное исполнение на кухне) наиболее ярко проявляются в рыбных блюдах и супах.|рыбных блюдах|positive|0|рыбный блюдо
91|Оазис изысканности: Блюда, хотя и несколько неоднородные, часто достигают вершин новой американской изысканной кухни - страсть шеф-повара (и точное исполнение на кухне) наиболее ярко проявляются в рыбных блюдах и супах.|супах|positive|0|суп
92|Оазис изысканности: Блюда, хотя и несколько неоднородные, часто достигают вершин новой американской изысканной кухни - страсть шеф-повара (и точное исполнение на кухне) наиболее ярко проявляются в рыбных блюдах и супах.|кухне|positive|0|кухня
93|Оазис изысканности: Блюда, хотя и несколько неоднородные, часто достигают вершин новой американской изысканной кухни - страсть шеф-повара (и точное исполнение на кухне) наиболее ярко проявляются в рыбных блюдах и супах.|кухни|positive|0|кухня
94|Если вы любите вино, сыр и вкусные блюда французской кухни, вам понравятся блюда ручной работы!|вино|positive|0|вино
95|Если вы любите вино, сыр и вкусные блюда французской кухни, вам понравятся блюда ручной работы!|французской кухня|positive|0|французская кухня
96|Если вы любите вино, сыр и вкусные блюда французской кухни, вам обязательно понравятся блюда ручной работы!|сыр|positive|0|сыр
97|Я люблю индийскую кухню и считаю себя в ней настоящим экспертом.|индийскую кухню|positive|0|индийская кухня
98|Десерт из лавового торта был невероятным, и я рекомендую его.|Десерт из лавового торта|positive|0|десерт из лавовый торт
99|Лахор - отличное место, куда можно заскочить поздно вечером, когда вам нужно по-настоящему вкусно поесть по дешевке - скорее всего, вам будет трудно съесть то количество еды, которое вы получите за четыре доллара.|еда|positive|0|еда
100|Но персонал был так ужасен с нами.|персонал|negative|0|персонал
101|У них не было майонеза, они забыли наши тосты, забыли ингредиенты (т.е. сыр в омлете), температура была ниже нуля, а бекон был настолько пережарен, что крошился на тарелке, когда вы к нему прикасались.|тосты|negative|0|тост
102|У них не было майонеза, они забыли наши тосты, не было ингредиентов (т.е. сыра в омлете), температура ниже нуля, а бекон был настолько пережарен, что крошился на тарелке, когда вы его трогали.|майонез|negative|0|майонез
103|У них не было майонеза, забыли наши тосты, забыли ингредиенты (т.е. сыр в омлете), температура ниже нуля, а бекон был настолько пережарен, что крошился на тарелке, когда вы его трогали.|бекон|negative|0|бекон
104|У них не было майонеза, забыли наши тосты, не было ингредиентов (т.е. сыра в омлете), температура ниже нуля, а бекон был настолько пережарен, что крошился на тарелке, когда вы его трогали.|ингредиентов|negative|0|ингредиент
105|Все деньги ушли на оформление интерьера, ни одна из них не досталась поварам.|поварам|negative|0|повар
106|Места неудобные, если вы сидите у стены на деревянных скамейках.|Места|negative|0|место
107|У «Фаана» отличная концепция, но немного грубовата доставка.|доставка|negative|0|доставка
108|Цена разумная, хотя обслуживание плохое.|обслуживание|negative|0|обслуживание
109|Меню очень ограничено - я думаю, мы насчитали 4 или 5 блюд.|Меню|negative|0|меню
110|Меню очень ограничено - я думаю, мы насчитали 4 или 5 блюд.|блюд|negative|0|блюдо
111|Меню ограничено, но почти все блюда превосходны.|меню|negative|0|меню
112|Не очень нравится их саке-мартини.|саке-мартини|negative|0|сак мартини
113|По выходным у них часто многолюдно, но они эффективно и точно обслуживают.|многолюдно|negative|0|многолюдно
114|Все мои коллеги были поражены тем, насколько маленьким было блюдо.|блюдо|negative|0|блюдо
115|Мы заказали специальное блюдо, бранзино на гриле, которое было настолько пропитано костями, что его было трудно есть.|бранзино на гриле|negative|0|бранзино на гриль
116|По выходным здесь может быть немноголюдно, но атмосфера хорошая, и это лучшая французская кухня, которую вы найдете в этом районе.|немноголюдно|negative|0|немноголюдный
117|Я также заказал доставку, но ресторан забыл выполнить половину заказа.|доставкy|negative|0|доставкy
118|Я также заказал доставку, но ресторан забыл выполнить половину заказа.|заказа|negative|0|заказ
119|Наш официант проверял нас, возможно, дважды за все время приема пищи.|официант|negative|0|официант
120|Сильные запахи, доносившиеся слева и справа от меня, негативно повлияли на мои вкусовые рецепторы.|запахи|negative|0|запах
121|Если бы мы тянули время, я мог бы понять, откуда они взялись, но мы пробыли там меньше часа, а нам еще даже не принесли чек!|чек|negative|0|чек
122|Я пытался забронировать столик, но оба раза хозяйки не назвала моего имени.|хозяйки|negative|0|хозяйка
123|В целом, Да, несмотря на ожидание, оно того стоит|ожидание|negative|0|ожидание
124|От ужасного обслуживания до безвкусной еды, не говоря уже о неприветливых менеджерах, общее впечатление было ужасным.|обслуживания|negative|0|обслуживание
125|От ужасного обслуживания до безвкусной еды, не говоря уже о неприветливых менеджерах, общее впечатление было ужасным.|еды|negative|0|еда
126|От ужасного обслуживания до безвкусной еды, не говоря уже о неприветливых менеджерах, общее впечатление было ужасным.|менеджерах|negative|0|менеджер
127|Когда я был там в последний раз, мы сидели за столиком в коридоре рядом с кухней.|стол|negative|0|стол
128|Еда не впечатлила.|Еда|negative|0|еда
129|Обслуживание на высшем уровне: рассадка гостей была отложена на 35 минут после бронирования, метрдотель принес извинения и регулярно информировал нас о ходе работ.|бронирования|negative|0|бронирование
130|Еда обычно очень вкусная, хотя иногда я задумываюсь о свежести сырых овощей в гарнирах.|сырых овощей|negative|0|сырой овощ
131|Если не считать отвратительного обслуживания от двух человек, все отлично.|обслуживания|negative|0|обслуживание
132|Да, они используют необычные ингредиенты, но даже из необычных ингредиентов не получится хорошей пиццы, если только кто-то не знает, как правильно сделать корочку.|пиццы|negative|0|пицца
133|Еда была посредственной, а крем-брюле - ужасным - сахар подгорел, не карамелизовался и пах керосином.|крем-брюле|negative|0|крем брюла
134|Еда была посредственной, а крем-брюле - ужасным - сахар подгорел, не карамелизовался и пах керосином.|сахар|negative|0|сахар
135|Это место действительно модное, но они забыли о самой важной части ресторана - еде.|еде|negative|0|еда
136|Обслуживание можно было бы улучшить, но в целом в этом заведении понимают важность мелочей (например, тяжелого черного чайника, который выглядит как антикварный чайник) в работе ресторана.|Обслуживание|negative|0|обслуживание
137|Пицца очень вкусная - они используют свежую моцареллу вместо дешевого замороженного тертого сыра, который обычно используют в большинстве пиццерий.|сыра|negative|0|сыр
138|Во-первых, официантка была совершенно невнимательна, когда мы видели ее 2 раза (странно в ресторане с 6 столиками), и неправильно приняла наш заказ.|официантка|negative|0|официантка
139|Еда была пресной и жирной.|Eда|negative|0|eда
140|Рыба свежая, но в разнообразии рыбы нет ничего необычного.|разнообразии рыбы|negative|0|разнообразие рыба
141|В прошлый раз, когда я заходил сюда, официантка не вернулась после того, как приняла наш заказ.|официантка|negative|0|официантка
142|Несмотря на то, что помещение меньше, чем у большинства ресторанов, это лучший сервис, который вы найдете даже в самом большом ресторане.|количество мест|negative|0|количество мест
143|Обстановка романтичная, но еда ужасная, обслуживание жалкое, и Габриэлла лжет обо всем, что только может.|еда|negative|0|еда
144|Обстановка романтичная, но еда ужасная, обслуживание жалкое, и Габриэлла лжет обо всем, что только может.|услуга|negative|0|услуга
145|Я ела тайскую лапшу, но лапша была липкой.|тайскую лапшу|negative|0|тайская лапша
146|Я ела Пад Тай, и лапша была липкой.|лапша|negative|0|лапша
147|Хозяйка грубая до неприличия.|Хозяйка|negative|0|хозяйка
148|"Если вам не терпится отведать вкусную кухню Хару, особенно ""Хаус Ролл"", но вы не можете долго ждать в очереди, отправляйтесь в сакэ-бар на другой стороне улицы!"|ждать в очереди|negative|0|ждать в очередь
149|Узкий коридор ведет в крошечное помещение, где есть три крошечных прилавка, выложенных белой плиткой, большой беспорядок (стопки бутылок, банок) и небольшой прилавок на 12-14 блюд.|коридор|negative|0|коридор
150|Узкий коридор ведет в крошечное помещение, где есть три крошечных прилавка, выложенных белой плиткой, большой беспорядок (стопки бутылок, банок) и небольшой прилавок на 12-14 блюд.|помещение|negative|0|помещение
151|Узкий коридор ведет в крошечное помещение, где есть три крошечных прилавка, выложенных белой плиткой, большой беспорядок (стопки бутылок, банок) и небольшой прилавок на 12-14 блюд.|прилавка|negative|0|прилавок
152|Узкий коридор ведет в крошечное помещение, где есть три крошечных прилавка, выложенных белой плиткой, большой беспорядок (стопки бутылок, банок) и небольшой прилавок на 12-14 блюд.|прилавок|negative|1|прилавок
153|лучше бы попробовал Terrace in the Sky или Water Club за такую цену|цену|negative|0|цена
154|Еда была просто ужасной, даже ОТВРАТИТЕЛЬНОЙ.|Еда|negative|0|еда
155|Бульон для удона был из соевого соуса и воды.|бульон для удона|negative|0|бульон для удон
156|"Они могут быть строгими у стойки, когда вы делаете заказ, но их еда говорит ""я люблю тебя""."|стойка|negative|0|стойка
157|Ладно, официанты немного растеряны, но их более чем достаточно для количества посетителей — это нормально, просто нужно немного постараться, чтобы привлечь их внимание.|официанты|negative|0|официант
158|Удачи в получении столика.|получении столика|negative|0|получение столик
159|Обслуживание ужасное.|обслуживание|negative|0|обслуживание
160|Нам не принесли специальное предложение на ужин, пока мы не попросили.|специальное предложение на ужин|negative|0|специальное предложение на ужин
161|Самое раздражающее, однако, это то, что официанты, кажется, обучены выжимать деньги.|официанты|negative|0|официант
162|Мы все еще сидели у бара, потягивая сангрию, но когда отвернулись, $2 исчезли, и люди рядом сказали, что бармен забрал их.|бармен|negative|0|бармен
163|Нас быстро посадили, так как у нас был резерв, однако после этого обслуживание было медленным.|обслуживание|negative|0|обслуживание
164|Еда была довольно хорошей, но немного безвкусной, и порции очень маленькие, включая десерт.|десерт|negative|0|десерт
165|Еда была довольно хорошей, но немного безвкусной, и порции очень маленькие, включая десерт.|порции|negative|0|порция
166|Я заказал их яйца Бенедикт на бранч, которые были худшими в моей жизни. Я попытался полностью убрать голландский соус, вот насколько они были неудачными.|яйца Бенедикт|negative|0|яйцо бенедикт
167|Я заказал их яйца Бенедикт на бранч, которые были худшими в моей жизни. Я попытался полностью убрать голландский соус, вот насколько они были неудачными.|голландский соус|negative|0|голландский соус
168|Жаль, что еда не была того же уровня.|еда|negative|0|еда
169|Меню выглядело хорошо, за исключением чилийского морского окуня, но официант не предложил специальные блюда, которые были написаны на доске снаружи.|чилийский морской окунь|negative|0|чилийский морской окунь
170|Меню выглядело хорошо, за исключением чилийского морского окуня, но официант не предложил специальные блюда, которые были написаны на доске снаружи.|официант|negative|0|официант
171|Основываясь на отзывах об ужине, это место, которое я бы reconsidered revisiting для этого, но определенно не для дим сама снова.|дим сам|negative|0|дим сама
172|Дополнительные $2 за превращение обычного ролла в inside-out ролл, но ролл увеличивается более чем втрое, и не только за счет риса.|ролл|negative|0|ролл
173|Дополнительные $2 за превращение обычного ролла в inside-out ролл, но ролл увеличивается более чем втрое, и не только за счет риса.|ролл|negative|1|ролл
174|Дополнительные $2 за превращение обычного ролла в inside-out ролл, но ролл увеличивается более чем втрое, и не только за счет риса.|ролл|negative|2|ролл
175|Димсам неплохой, но не кажется свежим, и маленькие блюда не выглядят горячими, как должны были бы (также обратите внимание на отсутствие китайцев здесь).|маленькие блюда|negative|0|маленький блюдо
176|Если вы хотите хорошую аутентичную тайскую кухню, это не то место.|тайская кухня|negative|0|тайская кухня
177|Вы заказываете по меню, поэтому уходите с ощущением, что упустили полноценный опыт.|меню|negative|0|меню
178|Уровень шума был невыносимым, разговаривать было невозможно.|уровень шума|negative|0|уровень шум
180|Человек, который нас встречал, пообещал сохранить столик для нашей компании из 7 человек, но затем посадил за него компанию из 2 человек (хотя вокруг было много свободных мест).|столик|negative|0|столик
181|Пока мы ели посредственную еду, менеджер начал отчитывать пару своих сотрудников за то, что они поставили не те контейнеры для приправ, и объяснял им, насколько эти контейнеры дорогие.|еду|negative|0|еда
182|Пока мы ели посредственную еду, менеджер начал отчитывать пару своих сотрудников за то, что они поставили не те контейнеры для приправ, и объяснял им, насколько эти контейнеры дорогие.|сотрудники|negative|0|сотрудники
183|Пока мы ели посредственную еду, менеджер начал отчитывать пару своих сотрудников за то, что они поставили не те контейнеры для приправ, и объяснял им, насколько эти контейнеры дорогие.|контейнеры для приправ|negative|0|контейнер для приправа
184|Пока мы ели посредственную еду, менеджер начал отчитывать пару своих сотрудников за то, что они поставили не те контейнеры для приправ, и объяснял им, насколько эти контейнеры дорогие.|менеджер|negative|0|менеджер
185|Я заказал блюдо с лососем, и хотя оно было неплохим, за такую цену я ожидал больше вкуса.|вкус|negative|0|вкус
186|"Мы заказали ""тунцовый melt"" — он пришел без сыра, что сделало его просто тунцовым сэндвичем."|тунцовый melt|negative|0|тунцовый melt
187|"Мы заказали ""тунцовый melt"" — он пришел без сыра, что сделало его просто тунцовым сэндвичем."|тунцовый сэндвич|negative|0|тунцовый сэндвич
188|Официанты были невнимательны, за исключением того, что счет появился на столе до того, как мы закончили.|официанты|negative|0|официант
189|Официанты были невнимательны, за исключением того, что счет появился на столе до того, как мы закончили.|счет|negative|0|счёт
190|Не ешьте здесь, если только вы не умираете от голода по тайской еде и работаете рядом.|тайской еде|negative|0|тайская еда
191|Для тех, кто хочет отличную еду и сервис, Roxy — место, которого стоит избегать!|еда|negative|0|еда
192|Для тех, кто хочет отличную еду и сервис, Roxy — место, которого стоит избегать!|сервис|negative|0|сервис
193|Честно говоря, это одни из худших суши, которые я когда-либо пробовал.|суши|negative|0|сушить
194|Общая цена была очень высокой, чего я и ожидал.|цена|negative|0|цена
195|Рыба была пережарена.|рыба|negative|0|рыба
196|Мы не могли привлечь внимание официанта, и он нас игнорировал.|официант|negative|0|официант
197|Просто и ясно — это плохая тайская еда.|тайская еда|negative|0|тайская еда
198|Официантка, кажется, больше заботится о том, чтобы хорошо выглядеть, чем о своей работе.|официантка|negative|0|официантка
199|Лобстеровый сэндвич стоит $24, и хотя он был хорош, он не оправдывает такую цену.|цену|negative|0|цена
200|Еда неизменно исключительная, с очень способной кухней, которая с гордостью приготовит все, что вы захотите съесть, независимо от того, есть ли это в меню или нет.|меню|neutral|0|меню
201|Нашим любимым блюдом по общему мнению является орекьетте с колбасой и курицей (обычно официанты достаточно любезны, чтобы разделить блюдо пополам, и вы можете попробовать оба вида мяса).|мяса|neutral|0|мясо
202|Наш общий фаворит - орекьетте с колбасой и курицей (обычно официанты достаточно любезны, чтобы разделить блюдо пополам, так что вы можете попробовать оба вида мяса).|блюдо|neutral|0|блюдо
203|У них не было майонеза, забыли наши тосты, не было ингредиентов (т.е. сыра в омлете), температура ниже нуля, а бекон был настолько пережарен, что крошился на тарелке, когда вы к нему прикасались.|сыра|neutral|0|сыр
204|У них не было майонеза, забыли наши тосты, не было ингредиентов (т.е. сыра в омлете), температура ниже нуля, а бекон был настолько пережарен, что крошился на тарелке, когда вы к нему прикасались.|тарелке|neutral|0|тарелка
205|У них не было майонеза, они забыли наши тосты, забыли ингредиенты (т.е. сыр в омлете), температура ниже нуля, а бекон был настолько пережарен, что крошился на тарелке, когда вы его трогали.|омлете|neutral|0|омлет
206|На получение чека ушло полчаса, что было прекрасно, так как мы могли посидеть, выпить и поговорить!|выпить|neutral|0|выпить
207|Получение чека заняло полчаса, и это было прекрасно, так как мы могли сидеть, пить и разговаривать!|чека|neutral|0|чек
208|Пицца лучшая, если вы любите пиццу с тонкой корочкой.|пиццу с тонкой корочкой|neutral|0|пицца с тонкая корочка
209|Я попросил сельтерскую с лаймом, без льда.|сельтерскую с лаймом|neutral|0|сельтерская с лайм
210|Мое предложение - питаться по-семейному, потому что вы захотите попробовать другие блюда.|блюда|neutral|0|блюдо
211|Я наткнулся на этот ресторан на втором этаже две пятницы назад, когда был с двумя друзьями в городе из Лос-Анджелеса. Будучи серьезными любителями суши, мы сели за суши-бар, чтобы быть ближе к действию.|суши|neutral|0|сушить
212|Я наткнулся на этот ресторан на втором этаже две пятницы назад, когда был с двумя друзьями в городе из Лос-Анджелеса. Будучи серьезными любителями суши, мы сели за суши-бар, чтобы быть ближе к действию.|суши-бар|neutral|0|сушить бар
213|Три блюда - на выбор: превосходные мидии, салат из слоеного теста с козьим сыром и восхитительной заправкой, а также стейк из вешалки au poivre, который не имеет аналогов в этом мире.|блюда|neutral|0|блюдо
214|Они даже не дали мне допить мой бокал вина, прежде чем предложить другой.|бокал вина|neutral|0|бокал вино
215|Когда нас спрашивали, мы должны были задавать более подробные вопросы, чтобы знать, какие есть специальные предложения.|специальные предложения|neutral|0|специальный предложение
216|Это неизменно отличное место для обеда или ужина.|обеда|neutral|0|обед
217|Это неизменно отличное место для обеда или ужина.|ужина|neutral|0|ужин
218|После того, как нам очень понравилось в баре, мы сели за стол и поужинали.|стол|neutral|0|стол
219|После того, как нам очень понравилось в баре, мы сели за стол и поужинали.|поужинали|neutral|0|поужинать
220|Я вырос на Dosa и до сих пор не нашел в Нью-Йорке места, которое удовлетворило бы мои вкусовые рецепторы.|Dosa|neutral|0|dosa
221|Одна вещь, которая мне понравилась в этом месте, это то, что я никогда не чувствовал спешки или давления, чтобы уступить свой столик приходящим гостям.|столик|neutral|0|столик
222|Зачерпните ингредиенты палочками, покрутите их и съешьте.|ингредиенты|neutral|0|ингредиент
223|Возьмите палочками ингредиенты, покрутите их и съешьте.|палочками|neutral|0|палочка
224|Кухня, насколько я понял, настоящая тайваньская, хотя она сильно отличается от той, к которой я привык в Тайбэе.|Кухня|neutral|0|кухня
225|Наш официант проверял нас, возможно, дважды за все время приема пищи.|приема пищи|neutral|0|приём пища
226|Я пытался забронировать столик, но оба раза хозяйки не назвала моего имени.|бронирование|neutral|0|бронирование
227|Некоторые виды детской пиццы исполняют свои желания.|детской пиццы|neutral|0|детская пицца
228|VT - это то, чем надеются стать маленькие пиццы, когда вырастут.|маленькие пиццы|neutral|0|маленький пицца
229|Выбор вин (в бокалах и бутылках) замечательный, и я всегда рекомендую друзьям забронировать столик, если они собираются приехать в город.|забронировать|neutral|0|забронировать
